Artist,Location,Date,Venue,City
"Monsoon, Kairos Creature Club, and Skunch","The Green Lantern,Lexington, KY, US",Sunday 30 June 2024,,
Anne Wilson,"Lexington Opera House,Lexington, KY, US",Sunday 30 June 2024,,
Gwar,"Manchester Music Hall,Lexington, KY, US",Sunday 30 June 2024,,
Ole 60,"The Burl,Lexington, KY, US",Sunday 30 June 2024,,
Wanda Sykes,"Lexington Opera House,Lexington, KY, US",Sunday 30 June 2024,,
Year of October and Home Grown Head,"The Green Lantern,Lexington, KY, US",Sunday 30 June 2024,,
Tim McGraw,"Rupp Arena,Lexington, KY, US",Sunday 30 June 2024,,
Corduroy Brown,"The Burl,Lexington, KY, US",Sunday 30 June 2024,,
Juneteenth Festival 2024,"Midway, KY, US",Sunday 30 June 2024,,
Jenny Lewis,"Lexington Opera House,Lexington, KY, US",Sunday 30 June 2024,,
Wildermiss,"The Burl,Lexington, KY, US",Sunday 30 June 2024,,
John Hiatt,"Lexington Opera House,Lexington, KY, US",Sunday 30 June 2024,,
portrayal of guilt,"Al's Bar,Lexington, KY, US",Sunday 30 June 2024,,
Lucinda Williams,"Kentucky Theatre,Lexington, KY, US",Sunday 30 June 2024,,
Sam Burchfield,"The Burl,Lexington, KY, US",Sunday 30 June 2024,,
Zach Seabaugh,"Manchester Music Hall,Lexington, KY, US",Sunday 30 June 2024,,
Jim Norton,"Lexington Opera House,Lexington, KY, US",Sunday 30 June 2024,,
"Sempervivi, Violent Dawn, and death of rebellion","Redeemer Community Church,Lexington, KY, US",Sunday 30 June 2024,,
Home Grown Head and The Footsteps,"Break Room,Lexington, KY, US",Sunday 30 June 2024,,
Local Violence,"Redeemer Community Church,Lexington, KY, US",Sunday 30 June 2024,,
Shakey Graves,"The Burl,Lexington, KY, US",Sunday 30 June 2024,,
Laura Gibson,"Laura Gibson Undertow Show,Lexington, KY, US",Sunday 30 June 2024,,
Mike Campbell & The Dirty Knobs,"Lexington Opera House,Lexington, KY, US",Sunday 30 June 2024,,
Hayden Coffman,"Manchester Music Hall,Lexington, KY, US",Sunday 30 June 2024,,
AK-7 and La Autoridad de la Sierra,"Corral,Lexington, KY, US",Sunday 30 June 2024,,
David Spade,"Lexington Opera House,Lexington, KY, US",Sunday 30 June 2024,,
